Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2003;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2003;Total nacimientos de residentes;Otros;;;67044;Número;
2003;Nacimientos de hombres residentes;Otros;;;34540;Número;
2003;Nacimientos de mujeres residentes;Otros;;;32504;Número;
2003;Total defunciones de residentes;Otros;;;41424;Número;
2003;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2004;Defunciones de residentes mujeres;Otros;;;19871;Número;
2004;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;30275;Número;
2004;Total esposos de matrimonios de distinto sexo residentes;Otros;;;29809;Número;
2004;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;27314;Número;
2004;Total esposas de matrimonios de distinto sexo residentes;Otros;;;29480;Número;
2004;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27488;Número;
2004;Defunciones de residentes hombres;Otros;;;20417;Número;
2004;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2004;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2004;Total nacimientos de residentes;Otros;;;69029;Número;
2004;Nacimientos de hombres residentes;Otros;;;35913;Número;
2004;Nacimientos de mujeres residentes;Otros;;;33116;Número;
2004;Total defunciones de residentes;Otros;;;40288;Número;
2004;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2005;Defunciones de residentes mujeres;Otros;;;20107;Número;
2005;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;28483;Número;
2005;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28194;Número;
2005;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;25727;Número;
2005;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27953;Número;
2005;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25962;Número;
2005;Defunciones de residentes hombres;Otros;;;20731;Número;
2005;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;58;Número;
2005;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;201;Número;
2005;Total nacimientos de residentes;Otros;;;69364;Número;
2005;Nacimientos de hombres residentes;Otros;;;35409;Número;
2005;Nacimientos de mujeres residentes;Otros;;;33955;Número;
2005;Total defunciones de residentes;Otros;;;40838;Número;
2005;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;259;Número;
2006;Defunciones de residentes mujeres;Otros;;;19607;Número;
2006;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;27791;Número;
2006;Total esposos de matrimonios de distinto sexo residentes;Otros;;;27672;Número;
2006;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24982;Número;
2006;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27414;Número;
2006;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25150;Número;
2006;Defunciones de residentes hombres;Otros;;;20272;Número;
2006;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;239;Número;
2006;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;671;Número;
2006;Total nacimientos de residentes;Otros;;;71941;Número;
2006;Nacimientos de hombres residentes;Otros;;;37024;Número;
2006;Nacimientos de mujeres residentes;Otros;;;34917;Número;
2006;Total defunciones de residentes;Otros;;;39879;Número;
2006;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;910;Número;
2007;Defunciones de residentes mujeres;Otros;;;20435;Número;
2007;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;28058;Número;
2007;Total esposos de matrimonios de distinto sexo residentes;Otros;;;27908;Número;
2007;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24866;Número;
